English	French	Spanish	German	Japanese	Chinese	Esperanto	Hindi	Telugu	Kannada	Turkish	Estonian	Serbian	Korean	Finnish	Hungarian	Bulgarian	Tamil	Indonesian	Arabic	Persian	Urdu	Hebrew	Italian	Portuguese	Russian	Ukrainian	Polish	Czech	Dutch	Swedish	Interlingua	Greek	Catalan	Romanian	Vietnamese	Latvian	Lithuanian	Malayalam	Bengali	Thai	Malay	Danish	Norwegian	Icelandic	Croatian	Slovak	Slovene	Swahili	Welsh	Basque	Armenian	Georgian	Khmer	Burmese	Albanian	Afrikaans	Galician	Tagalog	Macedonian	Azerbaijani	Marathi	Nepali	Belarusian	Irish	Lao	Mongolian	Sinhala
lab laser	laser de laboratoire	láser de laboratorio	Laborlaser	実験室用レーザー	实验室激光器	laboratorieja lazero	लैब लेजर	ల్యాబ్ లేజర్	ಲ್ಯಾಬ್ ಲೇಸರ್	laboratuvar lazeri	labori laser	laboratorijski laser	실험실 레이저	laboratoriolaser	laboratóriumi lézer	лабораторен лазер	ஆய்வக லேசர்	laser lab	ليزر المختبر	لیزر آزمایشگاهی	لیب لیزر	לייזר מעבדה	laser di laboratorio	laser de laboratório	лабораторный лазер	лабораторний лазер	laser laboratoryjny	laboratorní laser	lablaser	laboratorielaser	laser de laboratorio	λέιζερ εργαστηρίου	làser de laboratori	laser de laborator	laser phòng thí nghiệm	laboratorijas lāzers	laboratorinis lazeris	ലാബ് ലേസർ	ল্যাব লেজার	เลเซอร์ในห้องปฏิบัติการ	laser makmal	laboratorielaser	laboratorielaser	rannsóknarstofuleysir	laboratorijski laser	laboratórny laser	laboratorijski laser	leza ya maabara	laser labordy	laborategiko laserra	լաբորատոր լազեր	ლაბორატორიული ლაზერი	ឡាស៊ែរមន្ទីរពិសោធន៍	ဓာတ်ခွဲခန်းသုံး လေဆာ	lazeri i laboratorit	laboratoriumlaser	láser de laboratorio	laser ng laboratoryo	лабораториски ласер	laboratoriya lazeri	प्रयोगशाळेतील लेझर	प्रयोगशाला लेजर	лабараторны лазер	léasar saotharlainne	ເລເຊີໃນຫ້ອງທົດລອງ	лабораторийн лазер	පරීක්ෂණාගාර ලේසර්
power	puissance	potencia	Leistung	出力	功率	potenco	शक्ति	సామర్థ్యం	ಸಾಮರ್ಥ್ಯ	güç	võimsus	snaga	출력	teho	teljesítmény	мощност	திறன்	daya	قدرة	توان	پاور	הספק	potenza	potência	мощность	потужність	moc	výkon	vermogen	effekt	potentia	ισχύς	potència	putere	công suất	jauda	galia	ശക്തി	ক্ষমতা	กำลัง	kuasa	effekt	effekt	afl	snaga	výkon	moč	nguvu	pŵer	potentzia	հզորություն	სიმძლავრე	ថាមពល	စွမ်းအား	fuqia	krag	potencia	lakas	моќност	güc	शक्ती	शक्ति	моцнасць	cumhacht	ກຳລັງ	чадал	ශක්තිය
beam	faisceau	haz	Strahl	ビーム	光束	radiumo	बीम (किरण पुंज)	కిరణం	ಕಿರಣ	ışın	kiir	snop	빔	säde	nyaláb	лъч	கற்றை	berkas	حزمة	پرتو	بیم	קרן	fascio	feixe	луч	промінь	wiązka	svazek	straal	stråle	fascia	δέσμη	feix	fascicul	chùm tia	stari	spindulys	ബീം	রশ্মি	ลำแสง	berkas	stråle	stråle	geisli	snop	lúč	žarek	miale	pelydr	izpia	ճառագայթ	სხივი	កាំរស្មី	အလင်းတန်း	rrezja	straal	feixe	sinag	сноп	şüa	किरणपुंज	किरण	пучок	bíoma	ລຳແສງ	туяа	කිරණය
parameters	paramètres	parámetros	Parameter	パラメータ	参数	parametroj	पैरामीटर	పారామీటర్లు	ಪ್ಯಾರಾಮೀಟರ್‌ಗಳು	parametreler	parameetrid	parametri	매개변수	parametrit	paraméterek	параметри	அளவுருக்கள்	parameter	بارامترات	پارامترها	پیرامیٹرز	פרמטרים	parametri	parâmetros	параметры	параметри	parametry	parametry	parameters	parametrar	parametros	παράμετροι	paràmetres	parametri	các thông số	parametri	parametrai	പാരാമീറ്ററുകൾ	প্যারামিটারসমূহ	พารามิเตอร์	parameter	parametre	parametere	breytur	parametri	parametre	parametri	vigezo	paramedrau	parametroak	պարամետրեր	პარამეტრები	ប៉ារ៉ាម៉ែត្រ	သတ်မှတ်ချက်များ	parametrat	parameters	parámetros	mga parametro	параметри	parametrlər	घटक	प्यारामिटरहरू	параметры	paraméitrí	ພາລາມິເຕີ	параметрүүд	පරාමිතීන්
width	largeur	ancho	Breite	幅	宽度	larĝeco	चौड़ाई	వెడల్పు	ಅಗಲ	genişlik	laius	širina	너비	leveys	szélesség	ширина	அகலம்	lebar	عرض	عرض	چوڑائی	רוחב	larghezza	largura	ширина	ширина	szerokość	šířka	breedte	bredd	largitate	πλάτος	amplada	lățime	độ rộng	platums	plotis	വീതി	প্রস্থ	ความกว้าง	lebar	bredde	bredde	breidd	širina	šírka	širina	upana	lled	zabalera	լայնություն	სიგანე	ទទឹង	အကျယ်	gjerësia	breedte	largura	lapad	ширина	genişlik	रुंदी	चौडाइ	шырыня	leithead	ຄວາມກວ້າງ	өргөн	පළල
Heisenberg uncertainty principle	principe d'incertitude de Heisenberg	principio de incertidumbre de Heisenberg	Heisenbergsche Unschärferelation	ハイゼンベルクの不確定性原理	海森堡不确定性原理	Heisenberga necertenca principo	हाइजेनबर्ग अनिश्चितता सिद्धांत	హైసెన్‌బర్గ్ అనిశ్చితి సూత్రం	ಹೈಸೆನ್ಬರ್ಗ್ ಅನಿಶ್ಚಿತತಾ ತತ್ವ	Heisenberg belirsizlik ilkesi	Heisenbergi määramatuse printsiip	Hajzenbergov princip neodređenosti	하이젠베르크의 불확정성 원리	Heisenbergin epätarkkuusperiaate	Heisenberg határozatlansági elve	принцип на неопределеността на Хайзенберг	ஹைசன்பெர்க் நிச்சயமற்ற கொள்கை	prinsip ketidakpastian Heisenberg	مبدأ عدم اليقين لهايزنبرج	اصل عدم قطعیت هایزنبرگ	ہائزنبرگ کا عدم تعین کا اصول	עקרון האי-ודאות של הייזנברג	principio di indeterminazione di Heisenberg	princípio da incerteza de Heisenberg	принцип неопределенности Гейзенберга	принцип невизначеності Гейзенберга	zasada nieoznaczoności Heisenberga	Heisenbergův princip neurčitosti	onzekerheidsprincipe van Heisenberg	Heisenbergs osäkerhetsprincip	principio de incertiditude de Heisenberg	αρχή της αβεβαιότητας του Heisenberg	principi d'incertesa de Heisenberg	principiul incertitudinii lui Heisenberg	nguyên lý bất định Heisenberg	Heizenberga nenoteiktības princips	Heizenbergo neapibrėžtumo principas	ഹൈзенബർഗ് അനിശ്ചിതത്വ തത്വം	হাইজেনবার্গের অনিশ্চয়তা নীতি	หลักความไม่แน่นอนของไฮเซนแบร์ก	prinsip ketidakpastian Heisenberg	Heisenbergs usikkerhedsprincip	Heisenbergs usikkerhetsprinsipp	óvissulögmál Heisenbergs	Heisenbergov princip neodređenosti	Heisenbergov princíp neurčiteľnosti	Heisenbergovo načelo nedoločenosti	kanuni ya kutokuwa na uhakika ya Heisenberg	egwyddor ansicrwydd Heisenberg	Heisenbergen ziurgabetasun-printzipioa	Հայզենբերգի անորոշության սկզբունք	ჰაიზენბერგის განუსაზღვრელობის პრინციპი	គោលការណ៍មិនច្បាស់លាស់ Heisenberg	Heisenberg ၏ မသေချာမှု နိယာမ	parimi i pasigurisë i Heisenberg-ut	Heisenberg se onsekerheidsbeginsel	principio de incerteza de Heisenberg	prinsipyo ng kawalang-katiyakan ni Heisenberg	Хајзенберговиот принцип на неопределеност	Heisenberg-in qeyri-müəyyənlik prinsipi	हायझेनबर्गचे अनिश्चिततेचे तत्त्व	हाइजेनबर्गको अनिश्चितता सिद्धान्त	прынцып нявызначанасці Гейзенберга	prionsabal neamhchinnteachta Heisenberg	ຫຼັກການຄວາມບໍ່ແນ່ນອນຂອງ ໄຮເຊນເບີກ	Хайзенбергийн тодорхойгүй байдлын зарчим	හයිසන්බර්ග් අවිනිශ්චිතතා මූලධර්මය
delta x	delta x	delta x	Delta x	デルタx (Δx)	delta x (Δx)	delta x	डेल्टा x	డెల్టా x	ಡೆಲ್ಟಾ x	delta x	delta x	delta x	델타 x	delta x	delta x	делта x	delta x	delta x	delta x	دلتا x	ڈیلٹا x	דלתא x	delta x	delta x	дельта x	дельта x	delta x	delta x	delta x	delta x	delta x	Δx	delta x	delta x	delta x	delta x	delta x	delta x	ডেল্টা এক্স (delta x)	delta x	delta x	delta x	delta x	delta x	delta x	delta x	delta x	delta x	delta x	delta x	դելտա x	delta x	delta x	delta x	delta x	delta x	delta x	delta x	делта x	delta x	delta x	delta x	дэльта x	delta x	delta x	delta x	delta x
delta p	delta p	delta p	Delta p	デルタp (Δp)	delta p (Δp)	delta p	डेल्टा p	డెల్టా p	ಡೆಲ್ಟಾ p	delta p	delta p	delta p	델타 p	delta p	delta p	делта p	delta p	delta p	delta p	دلتا p	ڈیلٹا p	דלתא p	delta p	delta p	дельта p	дельта p	delta p	delta p	delta p	delta p	delta p	Δp	delta p	delta p	delta p	delta p	delta p	delta p	ডেল্টা পি (delta p)	delta p	delta p	delta p	delta p	delta p	delta p	delta p	delta p	delta p	delta p	delta p	դելտա p	delta p	delta p	delta p	delta p	delta p	delta p	delta p	делта p	delta p	delta p	delta p	дэльта p	delta p	delta p	delta p	delta p
focal point	point focal	punto focal	Brennpunkt	焦点	焦点	fokuspunkto	केंद्र बिंदु	నాభ్య కేంద్రం	ಕೇಂದ್ರ ಬಿಂದು	odak noktası	fookuspunkt	žarište	초점	polttopiste	fókuszpont	фокусна точка	குவியப்புள்ளி	titik fokus	نقطة بؤرية	کانون	فوکل پوائنٹ	מוקד	punto focale	ponto focal	фокус	фокус	ognisko	ohnisko	brandpunt	fokuspunkt	puncto focal	εστιακό σημείο	punt focal	punct focal	tiêu điểm	fokusa punkts	židinio taškas	ഫോക്കൽ പോയിന്റ്	ফোকাস বিন্দু	จุดโฟกัส	titik fokus	brændpunkt	brennpunkt	brennipunktur	žarište	ohnisko	žarišče	kitovu cha mlengeso	pwynt ffocws	foku-puntua	ֆոկուսային կետ	ფოკუსის წერტილი	ចំណុចផ្ដុំ	အချက်အချာမှတ်	pika fokale	brandpunt	punto focal	puntong pokus	фокусна точка	fokus nöqtəsi	नाभीबिंदू	केन्द्रविन्दु	фокус	pointe focáis	ຈຸດໂຟກັດ	фокус цэг	නාභි ලක්ෂ්‍යය
divergence	divergence	divergencia	Divergenz	発散	发散	diverĝeco	अपसरण	విచలనం	ವಿಕೇಪನ	ıraksama	divergents	divergencija	발산	divergenssi	divergencia	дивергенция	விலகல்	divergensi	تباعد	واگرایی	ڈائیورجنس	התבדרות	divergenza	divergência	расходимость	дивергенція	dywergencja	divergence	divergentie	divergens	divergentia	απόκλιση	divergència	divergență	độ phân kỳ	diverģence	divergencija	ഡൈവർജൻസ്	অপসরণ	การลู่ออก	divergens	divergens	divergens	sundurleitni	divergencija	divergencia	divergenca	mtawanyiko	gwyriad	divergentzia	դիվերգենցիա	დივერგენცია	ការបែកចេញ	ဖြာထွက်မှု	divergjenca	divergensie	diverxencia	paglihis	дивергенција	divergensiya	अपसारण	अपसरण	дывергенцыя	éagscaradh	ການແຜ່ກວ້າງ	дивергенц	අපසාරීතාව
optics	optique	óptica	Optik	光学	光学	optiko	प्रकाशिकी	ఆప్టిక్స్	ದೃಗ್ವಿಜ್ಞಾನ	optik	optika	optika	광학	optiikka	optika	оптика	ஒளியியல்	optik	البصريات	نورشناسی	آپٹکس	אופטיקה	ottica	óptica	оптика	оптика	optyka	optika	optica	optik	optica	οπτική	òptica	optică	quang học	optika	optika	ഒപ്റ്റിക്സ്	আলোকবিজ্ঞান	ทัศนศาสตร์	optik	optik	optikk	sjónfræði	optika	optika	optika	optiki	opteg	optika	օպտիկա	ოპტიკა	អុបទិក	အလင်းပညာ	optika	optika	óptica	optika	оптика	optika	प्रकाशशास्त्र	प्रकाशशास्त्र	оптыка	optaic	ທັດສະນະສາດ	оптик	ප්‍රකාශ විද්‍යාව
Diffraction	Diffraction	Difracción	Beugung	回折	衍射	Difrakcio	विवर्तन	వివర్తనం	ವಿವರ್ತನೆ	Kırınım	difraktsioon	Difrakcija	회절	diffraktio	diffrakció	Дифракция	விளிம்பு விளைவு	Difraksi	حيود	پراش	ڈِفریکشن	עקיפה	Diffrazione	Difração	дифракция	дифракція	dyfrakcja	difrakce	Diffractie	diffraktion	Diffraction	Περίθλαση	Difracció	Difracție	Nhiễu xạ	Difrakcija	difrakcija	ഡിഫ്രാക്ഷൻ	অপবর্তন	การเลี้ยวเบน	Belauan	Diffraktion	diffraksjon	ljósbeyging	difrakcija	Difrakcia	Difrakcija	difrakshoni	Diffreithiant	Difrakzioa	դիֆրակցիա	დიფრაქცია	ឌីហ្វ្រាក់ស្យុង	အလင်းကွေ့ခြင်း	Difraksioni	Diffraksie	Difracción	Difraksiyon	Дифракција	Difraksiya	विवर्तन	विवर्तन	Дыфракцыя	Díraonadh	ການເຫຼື້ອມ	Дифракц	විවර්තනය
resolution	résolution	resolución	Auflösung	解像度	分辨率	rezolucio	रिज़ॉल्यूशन (विभेदन क्षमता)	రెజల్యూషన్ (స్పష్టత)	ರೆಸಲ್ಯೂಶನ್	çözünürlük	erilahuvõime	rezolucija	해상도	resoluutio	felbontás	разделителна способност	தெளிவுத்திறன்	resolusi	دقة	تفکیک‌پذیری	ریزولیوشن	רזולוציה	risoluzione	resolução	разрешение	роздільна здатність	rozdzielczość	rozlišení	resolutie	upplösning	resolution	ανάλυση	resolució	rezoluție	độ phân giải	rezolūcija	skiriamoji geba	റെസല്യൂഷൻ	রেজোলিউশন	ความละเอียด	resolusi	opløsning	oppløsning	upplausn	razlučivost	rozlíšenie	ločljivost	utatuzi	cydraniad	bereizmena	լուծելիություն	გარჩევადობა	ភាពច្បាស់	ကြည်လင်ပြတ်သားမှု	rezolucioni	resolusie	resolución	resolusyon	резолуција	ayrıdetmə	स्पष्टता	स्पष्टता	раздзяляльнасць	taifeach	ຄວາມລະອຽດ	нарийвчлал	විභේදනය
microscopes	microscopes	microscopios	Mikroskope	顕微鏡	显微镜	mikroskopoj	सूक्ष्मदर्शी	సూక్ష్మదర్శినులు	ಸೂಕ್ಷ್ಮದರ್ಶಕಗಳು	mikroskoplar	mikroskoopid	mikroskopi	현미경들	mikroskoopit	mikroszkópok	микроскопи	நுண்ணோக்கிகள்	mikroskop	مجاهر	میکروسکوپ‌ها	مائیکروسکوپس	מיקרוסקופים	microscopi	microscópios	микроскопы	мікроскопи	mikroskopy	mikroskopy	microscopen	mikroskop	microscopios	μικροσκόπια	microscopis	microscoape	kính hiển vi	mikroskopi	mikroskopai	മൈക്രോസ്കോപ്പുകൾ	অণুবীক্ষণ যন্ত্রসমূহ	กล้องจุลทรรศน์	mikroskop	mikroskoper	mikroskoper	smásjónir	mikroskopi	mikroskopy	mikroskopi	hadubini	microsgopau	mikroskopoak	միկրոսկոպներ	მიკროსკოპები	មីក្រូសកុប	အဏုကြည့်မှန်ပြောင်းများ	mikroskopet	mikroskope	microscopios	mga mikroskopyo	микроскопи	mikroskoplar	सूक्ष्मदर्शकयंत्रे	सूक्ष्मदर्शीहरू	мікраскопы	micreascóip	ກ້ອງຈຸລະທັດ	микроскопууд	අන්වීක්ෂ
Abbe limit	limite d'Abbe	límite de Abbe	Abbe-Limit	アベ限界	阿贝极限	limo de Abbe	एबे सीमा	అబ్బె పరిమితి	ಅಬೆ ಮಿತಿ	Abbe limiti	Abbe piir	Abov limit	아베 한계	Abben raja	Abbe-határ	граница на Абе	அபி எல்லை	batas Abbe	حد آبي	حد آبه	ایبی لمیٹ	גבול אבה	limite di Abbe	limite de Abbe	предел Аббе	ліміт Аббе	limit Abbego	Abbeův limit	Abbe-limiet	Abbe-gränsen	limite de Abbe	όριο Abbe	límit d'Abbe	limita lui Abbe	giới hạn Abbe	Abes robeža	Abbe riba	അബെ ലിമിറ്റ്	অ্যাবে সীমা	ขีดจำกัดของแอบเบ้	had Abbe	Abbe-grænsen	Abbe-grensen	Abbe-mörk	Abbeova granica	Abbeov limit	Abbejeva meja	kikomo cha Abbe	terfyn Abbe	Abbe-ren limitea	Աբբեի սահման	აბეს ლიმიტი	ដែនកំណត់ Abbe	Abbe ကန့်သတ်ချက်	limiti i Abbe-s	Abbe-limiet	límite de Abbe	hangganan ni Abbe	Абеов лимит	Abbe limiti	अबे मर्यादा	एबे सीमा	ліміт Аббэ	teorainn Abbe	ຂີດຈຳກັດຂອງ ອາບເບ	Аббе-гийн хязгаар	ඇබේ සීමාව
wavelength	longueur d'onde	longitud de onda	Wellenlänge	波長	波长	ondlongo	तरंग दैर्ध्य	తరంగ దైర్ఘ్యం	ತರಂಗಾಂತರ	dalga boyu	lainepikkus	talasna dužina	파장	aallonpituus	hullámhossz	дължина на вълната	அலைநீளம்	panjang gelombang	طول موجي	طول موج	طولِ موج	אורך גל	lunghezza d'onda	comprimento de onda	длина волны	довжина хвилі	długość fali	vlnová délka	golflengte	våglängd	longitate de unda	μήκος κύματος	longitud d'ona	lungime de undă	bước sóng	viļņa garums	bangos ilgis	തരംഗദൈർഘ്യം	তরঙ্গদৈর্ঘ্য	ความยาวคลื่น	panjang gelombang	bølgelængde	bølgelengde	bylgjulengd	valna duljina	vlnová dĺžka	valovna dolžina	urefu wa wimbi	tonfedd	uhin-luzera	ալիքի երկարություն	ტალღის სიგრძე	ប្រវែងរលក	လှိုင်းအလျား	gjatësia e valës	golflengte	comprimento de onda	haba ng alon	бранова должина	dalğa uzunluğu	तरंगलांबी	तरङ्गदैर्ध्य	даўжыня хвалі	tonnfhad	ຄວາມຍາວຄື້ນ	долгионы урт	තරංග ආයාමය
lambda	lambda	lambda	Lambda	ラムダ (λ)	lambda (λ)	lambda	लैम्ब्डा	లాంబ్డా	ಲ್ಯಾಂಬ್ಡಾ	lambda	lambda	lambda	람다	lambda	lambda	ламбда	lambda	lambda	lambda	لامبدا	لیمبڈا	למדא	lambda	lambda	лямбда	лямбда	lambda	lambda	lambda	lambda	lambda	λ	lambda	lambda	lambda	lambda	lambda	lambda	ল্যাম্বডা (lambda)	lambda	lambda	lambda	lambda	lambda	lambda	lambda	lambda	lambda	lambda	lambda	լյամբդա	lambda	lambda	lambda	lambda	lambda	lambda	lambda	ламбда	lambda	lambda	lambda	лямбда	lambda	ແລມບດາ	lambda	lambda
evanescent waves	ondes évanescentes	ondas evanescentes	evaneszente Wellen	エバネッセント波	消逝波	evanescentaj ondoj	इवनेसेंट तरंगें	ఎవనసెంట్ తరంగాలు	ಎವನೆಸೆಂಟ್ ತರಂಗಗಳು	sönümlenen dalgalar	evanesentsed lained	evanescentni talasi	소멸파	evanesenssiaallot	evanescens hullámok	еванесцентни вълни	மறைந்துபோகும் அலைகள்	gelombang evanescent	موجات متلاشية	موج‌های میرا	ایوانیسینٹ لہریں	גלים דועכים	onde evanescenti	ondas evanescentes	эванесцентные волны	затухаючі хвилі	fale zanikające	evanescentní vlny	evanescente golven	evanescenta vågor	undas evanescentes	εξατμιζόμενα κύματα	ones evanescents	unde evanescente	sóng tắt dần	evanescentie viļņi	evanescentinės bangos	ഇവനെസെന്റ് തരംഗങ്ങൾ	ইভানেসেন্ট তরঙ্গ	คลื่นอีวานิเซนต์	gelombang evanescent	evanescente bølger	evanescente bølger	hverfandi bylgjur	evanescentni valovi	evanescentné vlny	evanescentni valovi	mawimbi yanayopotea	tonnau efanescent	olatu evaneszenteak	անհետացող ալիքներ	ევანესცენტური ტალღები	រលក evanescent	ပျောက်ကွယ်လွယ်သောလှိုင်းများ	valët evaneshente	evanescente golwe	ondas evanescentes	mga ebanesenteng alon	еванесцентни бранови	evanesent dalğalar	इव्हॅनेसेंट लहरी	इभानसेन्ट तरङ्गहरू	эванесцэнтныя хвалі	tonnta imitheacha	ຄື້ນເລືອນຫາຍ	алгагддаг долгионууд	ක්ෂයවන තරංග
microscope lens	objectif de microscope	lente de microscopio	Mikroskopobjektiv	顕微鏡レンズ	显微镜镜头	mikroskopa lenso	सूक्ष्मदर्शी लेंस	సూక్ష్మదర్శిని లెన్స్	ಸೂಕ್ಷ್ಮದರ್ಶಕದ ದಿಕ್ಪಟ	mikroskop lensi	mikroskoobi lääts	mikroskopska sočiva	현미경 렌즈	mikroskooppilinssi	mikroszkóplencse	микроскопна леща	நுண்ணோக்கி லென்ஸ்	lensa mikroskop	عدسة المجهر	لنز میکروسکوپ	مائیکروسکوپ کا لینز	עדשת מיקרוסקופ	lente del microscopio	lente do microscópio	объектив микроскопа	об'єктив мікроскопа	soczewka mikroskopu	objektiv mikroskopu	microscooplens	mikroskopobjektiv	lente de microscopio	φακός μικροσκοπίου	lent de microscopi	lentilă de microscop	vật kính kính hiển vi	mikroskopa lēce	mikroskopo lęšis	മൈക്രോസ്കോപ്പ് ലെൻസ്	অণুবীক্ষণ যন্ত্রের লেন্স	เลนส์กล้องจุลทรรศน์	kanta mikroskop	mikroskoplinse	mikroskoplinse	smásjónarlinsa	leća mikroskopa	objektív mikroskópu	mikroskopska leča	lenzi ya hadubini	lens microsgop	mikroskopio-lentea	միկրոսկոպի ոսպնյակ	მიკროსკოპის ლინზა	ឡង់ទីមីក្រូសកុប	အဏုကြည့်မှန်ပြောင်း မှန်ဘီလူး	thjerrëza e mikroskopit	mikroskooplens	lente do microscopio	lens ng mikroskopyo	леќа на микроскоп	mikroskop linzası	सूक्ष्मदर्शकाचा लेन्स	सूक्ष्मदर्शी लेन्स	лінза мікраскопа	lins micrascóip	ເລນກ້ອງຈຸລະທັດ	микроскопын линз	අන්වීක්ෂ කාචය
physicists	physiciens	físicos	Physiker	物理学者	物理学家	fizikistoj	भौतिक विज्ञानी	భౌతిక శాస్త్రవేత్తలు	ಭೌತವಿಜ್ಞಾನಿಗಳು	fizikçiler	füüsikud	fizičari	물리학자들	fyysikot	fizikusok	физици	இயற்பியலாளர்கள்	fisikawan	فيزيائيون	فیزیکدانان	طبیعیات دان	פיזיקאים	fisici	físicos	физики	фізики	fizycy	fyzici	natuurkundigen	fysiker	physicistes	φυσικοί	físics	fizicieni	các nhà vật lý	fiziķi	fizikai	ഭൗതികശാസ്ത്രജ്ഞർ	পদার্থবিদগণ	นักฟิสิกส์	ahli fizik	fysikere	fysikere	eðlisfræðingar	fizičari	fyzici	fiziki	wanafizikia	ffisegyddion	fisikoak	ֆիզիկոսներ	ფიზიკოსები	អ្នករូបវិទ្យា	ရူပဗေဒပညာရှင်များ	fizikanët	fisici	físicos	mga pisiko	физичари	fiziklər	भौतिकशास्त्रज्ञ	भौतिकशास्त्रीहरू	фізікі	fisiceoirí	ນັກຟີຊິກ	физикчид	භෞතික විද්‍යාඥයින්
near-field microscope	microscope en champ proche	microscopio de campo cercano	Nahfeldmikroskop	近接場顕微鏡	近场显微镜	proksima-kampa mikroskopo	निकट-क्षेत्र सूक्ष्मदर्शी	నియర్-ఫీల్డ్ మైక్రోస్కోప్	ನಿಯರ್-ಫೀಲ್ಡ್ ಸೂಕ್ಷ್ಮದರ್ಶಕ	yakın alan mikroskobu	lähivälja mikroskoop	mikroskop bliskog polja	근접장 현미경	lähikenttämikroskooppi	közeltéri mikroszkóp	близкополен микроскоп	அண்மை-புல நுண்ணோக்கி	mikroskop medan dekat	مجهر المجال القريب	میکروسکوپ میدان نزدیک	نیئر فیلڈ مائیکروسکوپ	מיקרוסקופ שדה קרוב	microscopio a campo vicino	microscópio de campo próximo	ближнепольный микроскоп	ближньопольний мікроскоп	mikroskop bliskiego pola	blízko-polní mikroskop	nabijveldmicroscoop	närfältsmikroskop	microscopio de campo proxim	μικροσκόπιο κοντινού πεδίου	microscopi de camp proper	microscop de câmp apropiat	kính hiển vi trường gần	tuvlauka mikroskops	artimojo lauko mikroskopas	നിയർ-ഫീൽഡ് മൈക്രോസ്കോപ്പ്	নিয়ার-ফিল্ড মাইক্রোস্কোপ	กล้องจุลทรรศน์สนามใกล้	mikroskop medan dekat	nærfeltsmikroskop	nærfeltmikroskop	nærsviðssmásjón	mikroskop bliskog polja	blízko-polný mikroskop	mikroskop bližnjega polja	hadubini ya uwanja wa karibu	microsgop maes agos	eremu-hurbilduko mikroskopioa	մոտադաշտային միկրոսկոպ	ახლო ველის მიკროსკოპი	មីក្រូសកុបដែនជិត	အနီးကွင်း အဏုကြည့်မှန်ပြောင်း	mikroskopi i fushës së afërt	naarveld-mikroskoop	microscopio de campo próximo	mikroskopyong malapit-na-larangan	микроскоп за блиско поле	yaxın-sahə mikroskopu	निकट-क्षेत्र सूक्ष्मदर्शक	निकट-क्षेत्र सूक्ष्मदर्शी	мікраскоп блізкага поля	micreascóp gaire-réimse	ກ້ອງຈຸລະທັດສະໜາມໃກ້	ойрын талбайн микроскоп	අසන්නාගමික ක්ෂේත්‍ර අන්වීක්ෂය
NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM
ultra-fine tip	pointe ultra-fine	punta ultrafina	ultrafeine Spitze	超微細チップ	超细探针	ultrafina pinto	अति-सूक्ष्म टिप	అల్ట్రా-ఫైన్ టిప్	ಅತಿಸೂಕ್ಷ್ಮ ತುದಿ	ultra ince uç	ultraväike otsik	ultrafini vrh	초미세 팁	erittäin hieno kärki	ultravékony hegy	ултрафина върхова част	மிக நுண்ணிய முனை	ujung ultra-halus	طرف فائق الدقة	نوک فوق‌ظریف	انتہائی باریک ٹپ	חוד דקיק	punta ultra-fine	ponta ultrafina	ультратонкий зонд	надтонкий зонд	ultracienka sonda	ultrajemný hrot	ultrafijne tip	ultrafin spets	punta ultra-fine	υπερλεπτή αιχμή	punta ultra-fina	vârf ultra-fin	đầu dò siêu mịn	īpaši smails uzgalis	itin smailus galiukas	അൾട്രാ-ഫൈൻ ടിപ്പ്	অতি সূক্ষ্ম টিপ	ปลายเข็มละเอียดพิเศษ	hujung ultra-halus	ultra-fin spids	ultra-fin spiss	ofurfínn oddur	ultrafini vrh	ultrafínna špička	ultra-fina končnica	ncha nyembamba sana	blaen hynod fân	punta ultrafina	գերնուրբ ծայր	ულტრა-წვრილი წვერი	ចុងស្រួចបំផុត	အလွန်သေးငယ်သော ထိပ်ဖျား	majë shumë e hollë	ultra-fyn punt	punta ultrafina	ubrang pinong dulo	ултра-фин врв	ultra-incə ucluq	अति-सूक्ष्म टोक	अति-सूक्ष्म टुप्पो	ультратонкі зонд	barra ultra-mhín	ປາຍເຂັມລະອຽດທີ່ສຸດ	хэт нарийн үзүүр	අතිශය සියුම් අග්‍රය
